title,isbn,pageCount,publishedDate/$date,status
Rails 3 in Action,1935182277,425,2011-09-20T00:00:00.000-0700,PUBLISH
Continuous Integration in .NET,1935182552,328,2011-03-14T00:00:00.000-0700,PUBLISH
Technology Paradise Lost,1932394133,260,2004-03-01T00:00:00.000-0800,PUBLISH
Kermit 95+,1930110057,0,2003-01-01T00:00:00.000-0800,PUBLISH
Laszlo in Action,1932394834,552,2008-01-01T00:00:00.000-0800,PUBLISH
Groovy in Action,1932394842,696,2007-01-01T00:00:00.000-0800,PUBLISH
"Groovy in Action, Second Edition",1935182447,700,,MEAP
Object Technology Centers of Excellence,132612313,200,1996-06-01T00:00:00.000-0700,PUBLISH
Test Driven,1932394850,544,2007-09-01T00:00:00.000-0700,PUBLISH
Effective Unit Testing,1935182579,350,2013-02-04T00:00:00.000-0800,PUBLISH
Making Java Groovy,1935182943,0,2013-09-19T00:00:00.000-0700,PUBLISH
The Awesome Power of Direct3D/DirectX,1884777473,840,2002-12-01T00:00:00.000-0800,PUBLISH
Practical Software Requirements,1884777597,448,1998-09-01T00:00:00.000-0700,PUBLISH
NHibernate in Action,1932394923,400,2009-02-01T00:00:00.000-0800,PUBLISH
Microsoft Reporting Services in Action,1932394222,656,2004-08-01T00:00:00.000-0700,PUBLISH
AspectJ in Action,1930110936,512,2003-07-01T00:00:00.000-0700,PUBLISH
"AspectJ in Action, Second Edition",1933988053,568,2009-09-01T00:00:00.000-0700,PUBLISH
Hadoop in Action,1935182196,325,2010-12-01T00:00:00.000-0800,PUBLISH
SQR in PeopleSoft and Other Applications,1884777775,600,2003-09-01T00:00:00.000-0700,PUBLISH
"SQR in PeopleSoft and Other Applications, Second Edition",1932394001,696,2003-09-01T00:00:00.000-0700,PUBLISH
F# in Action,1935182250,425,,MEAP
Tuscany SCA in Action,1933988894,472,2011-02-12T00:00:00.000-0800,PUBLISH
Client/Server Yellow Pages,1884777082,280,1995-01-01T00:00:00.000-0800,PUBLISH
Object Oriented Application Frameworks,1884777066,352,1995-04-01T00:00:00.000-0800,PUBLISH
Tapestry in Action,1932394117,580,2004-03-01T00:00:00.000-0800,PUBLISH
WebWork in Action,1932394532,400,2005-09-01T00:00:00.000-0700,PUBLISH
MacRuby in Action,1935182498,0,2012-04-11T00:00:00.000-0700,PUBLISH
Erlang and OTP in Action,1933988789,500,2010-11-16T00:00:00.000-0800,PUBLISH
SharePoint 2007 Developer's Guide to Business Data Catalog,1933988819,304,2009-09-09T00:00:00.000-0700,PUBLISH
Doing IT Right,133964256,350,1995-12-01T00:00:00.000-0800,PUBLISH
Adobe AIR in Action,1933988487,336,2008-07-01T00:00:00.000-0700,PUBLISH
Ant in Action,193239480X,600,2007-07-01T00:00:00.000-0700,PUBLISH
Restlet in Action,193518234X,450,2012-09-26T00:00:00.000-0700,PUBLISH
iText in Action,1932394796,688,2006-11-01T00:00:00.000-0800,PUBLISH
"iText in Action, Second Edition",1935182617,600,2010-11-22T00:00:00.000-0800,PUBLISH
Power-3D,138412146,550,1997-10-01T00:00:00.000-0700,PUBLISH
SNA and TCP/IP Enterprise Networking,131271687,540,1997-09-01T00:00:00.000-0700,PUBLISH
Subversion in Action,1932394478,356,2004-12-01T00:00:00.000-0800,PUBLISH
Minimal Perl,1932394508,504,2006-07-01T00:00:00.000-0700,PUBLISH
Distributed Programming with Java,1884777651,320,1999-09-01T00:00:00.000-0700,PUBLISH
Comprehensive Networking Glossary and Acronym Guide,013319955X,208,1995-01-01T00:00:00.000-0800,PUBLISH
JavaServer Faces in Action,1932394125,744,2004-11-01T00:00:00.000-0800,PUBLISH
LINQ in Action,1933988169,576,2008-01-01T00:00:00.000-0800,PUBLISH
Internet BBSs,132869985,400,1996-10-01T00:00:00.000-0700,PUBLISH
Algorithms of the Intelligent Web,1933988665,368,2009-05-29T00:00:00.000-0700,PUBLISH
JUnit in Action,1930110995,384,2003-10-01T00:00:00.000-0700,PUBLISH
Tika in Action,1935182854,0,2011-12-01T00:00:00.000-0800,PUBLISH
Ruby in Practice,1933988479,360,2009-03-01T00:00:00.000-0800,PUBLISH
Inside LotusScript,1884777481,420,1997-11-01T00:00:00.000-0800,PUBLISH
Maximum MIDI,1884777449,450,1997-08-01T00:00:00.000-0700,PUBLISH
Planning and Managing ATM Networks,132621894,320,1997-06-01T00:00:00.000-0700,PUBLISH
Client/Server Applications on ATM Networks,137353006,350,1997-01-01T00:00:00.000-0800,PUBLISH
JavaFX in Action,1933988991,373,2009-10-01T00:00:00.000-0700,PUBLISH
Entity Framework 4 in Action,1935182188,576,2011-05-01T00:00:00.000-0700,PUBLISH
ASP.NET 2.0 Web Parts in Action,193239477X,344,2006-09-01T00:00:00.000-0700,PUBLISH
Sass and Compass in Action,1617290149,300,2013-07-26T00:00:00.000-0700,PUBLISH
Core OWL 5.0,1884777503,500,1997-12-01T00:00:00.000-0800,PUBLISH
Advanced OWL 5.0,1884777465,570,1998-01-01T00:00:00.000-0800,PUBLISH
Server-Based Java Programming,1884777716,592,2000-06-01T00:00:00.000-0700,PUBLISH
SQL Server MVP Deep Dives,1935182048,848,2009-11-01T00:00:00.000-0700,PUBLISH
SQL Server MVP Deep Dives,9.78194E+12,848,2009-11-15T00:00:00.000-0800,PUBLISH
SQL Server MVP Deep Dives,9.78194E+12,848,2009-11-01T00:00:00.000-0700,PUBLISH
PostGIS in Action,1935182269,325,2011-04-11T00:00:00.000-0700,PUBLISH
Programming Mac OS X,1930110855,384,2003-01-01T00:00:00.000-0800,PUBLISH
The Art of Unit Testing,1933988274,320,2009-05-01T00:00:00.000-0700,PUBLISH
Mahout in Action,1935182684,375,2011-10-05T00:00:00.000-0700,PUBLISH
ASP.NET MVC in Action,1933988622,392,2009-09-01T00:00:00.000-0700,PUBLISH
ASP.NET MVC 2 in Action,193518279X,432,2010-06-01T00:00:00.000-0700,PUBLISH
ASP.NET MVC 4 in Action,1617290416,450,2012-05-25T00:00:00.000-0700,PUBLISH
EJB 3 in Action,1933988347,712,2007-04-01T00:00:00.000-0700,PUBLISH
"EJB 3 in Action, Second Edition",1935182994,0,2014-04-07T00:00:00.000-0700,PUBLISH
Explorer's Guide to the Semantic Web,1932394206,304,2004-06-01T00:00:00.000-0700,PUBLISH
Practical LotusScript,1884777767,512,1999-05-01T00:00:00.000-0700,PUBLISH
Domino Development with Java,1930110049,467,2000-08-01T00:00:00.000-0700,PUBLISH
Windows PowerShell in Action,1932394907,576,2007-02-01T00:00:00.000-0800,PUBLISH
"Windows PowerShell in Action, Second Edition",1935182137,700,2011-05-15T00:00:00.000-0700,PUBLISH
"Silverlight 4 in Action, Revised Edition",1935182374,425,2010-10-04T00:00:00.000-0700,PUBLISH
Silverlight 5 in Action,1617290319,925,2012-06-01T00:00:00.000-0700,PUBLISH
Hibernate Quickly,1932394419,456,2005-08-01T00:00:00.000-0700,PUBLISH
Generative Art,1935182625,0,2011-06-30T00:00:00.000-0700,PUBLISH
Windows Phone 7 in Action,1617290092,0,2012-08-21T00:00:00.000-0700,PUBLISH
Lift in Action,1935182803,450,2011-11-18T00:00:00.000-0800,PUBLISH
Web Development with Apache and Perl,1930110065,424,2002-04-01T00:00:00.000-0800,PUBLISH
Real-World Functional Programming,1933988924,560,2009-12-01T00:00:00.000-0800,PUBLISH
Machine Learning in Action,1617290181,0,2012-04-04T00:00:00.000-0700,PUBLISH
Dependency Injection,193398855X,352,2009-08-01T00:00:00.000-0700,PUBLISH
Understanding Enterprise SOA,1932394591,280,2005-11-01T00:00:00.000-0800,PUBLISH
Open-Source ESBs in Action,1933988215,528,2008-09-01T00:00:00.000-0700,PUBLISH
Activiti in Action,1617290122,0,2012-07-12T00:00:00.000-0700,PUBLISH
DSLs in Boo: Domain-Specific Languages in .NET,1933988606,352,2010-01-01T00:00:00.000-0800,PUBLISH
JUnit Recipes,1932394230,752,2004-07-01T00:00:00.000-0700,PUBLISH
wxPython in Action,1932394621,620,2006-03-01T00:00:00.000-0800,PUBLISH
Clojure in Action,1935182595,475,2011-11-15T00:00:00.000-0800,PUBLISH
Scala in Action,1935182757,0,2013-04-09T00:00:00.000-0700,PUBLISH
Working with Objects,134529308,420,1995-08-01T00:00:00.000-0700,PUBLISH
PHP in Action,1932394753,552,2007-07-01T00:00:00.000-0700,PUBLISH
Secrets of the JavaScript Ninja,193398869X,300,2012-12-27T00:00:00.000-0800,PUBLISH
Microsoft Office Essentials,132623129,480,1996-07-01T00:00:00.000-0700,PUBLISH
Swing,1884777848,0,1999-12-01T00:00:00.000-0800,PUBLISH
Swing Second Edition,193011088X,912,2003-02-01T00:00:00.000-0800,PUBLISH
The Awesome Power of Java Beans,1884777562,500,1998-05-01T00:00:00.000-0700,PUBLISH
Personal Videoconferencing,013268327X,420,1996-06-01T00:00:00.000-0700,PUBLISH
The Cloud at Your Service,1935182528,200,2010-11-22T00:00:00.000-0800,PUBLISH
Implementing Elliptic Curve Cryptography,1884777694,330,1998-11-01T00:00:00.000-0800,PUBLISH
SOA Patterns,1933988266,250,2012-09-12T00:00:00.000-0700,PUBLISH
Hello World!,1933988495,432,2009-03-01T00:00:00.000-0800,PUBLISH
SCBCD Exam Study Kit,1932394400,488,2005-06-01T00:00:00.000-0700,PUBLISH
Portlets in Action,1935182544,475,2011-09-16T00:00:00.000-0700,PUBLISH
SWT/JFace in Action,1932394273,496,2004-11-01T00:00:00.000-0800,PUBLISH
OpenCL in Action,1617290173,0,2011-11-14T00:00:00.000-0800,PUBLISH
Multiprotocol over ATM,138892709,341,1998-03-01T00:00:00.000-0800,PUBLISH
Dependency Injection in .NET,1935182501,375,2011-10-03T00:00:00.000-0700,PUBLISH
Java 3D Programming,1930110359,400,2002-03-01T00:00:00.000-0800,PUBLISH
Liferay in Action,193518282X,375,2011-09-20T00:00:00.000-0700,PUBLISH
JSP Tag Libraries,193011009X,656,2001-05-01T00:00:00.000-0700,PUBLISH
Instant Messaging in Java,1930110464,402,2002-03-01T00:00:00.000-0800,PUBLISH
Java Applets and Channels Without Programming,1884777392,372,1999-12-01T00:00:00.000-0800,PUBLISH
PowerShell in Practice,1935182005,500,2010-06-08T00:00:00.000-0700,PUBLISH
PowerShell and WMI,1617290114,0,2012-04-30T00:00:00.000-0700,PUBLISH
Making Sense of Java,132632942,180,1996-06-01T00:00:00.000-0700,PUBLISH
C++/CLI in Action,1932394818,416,2007-04-01T00:00:00.000-0700,PUBLISH
C# in Depth,1933988363,424,2008-04-01T00:00:00.000-0700,PUBLISH
"C# in Depth, Second Edition",1935182471,584,,PUBLISH
Magical A-Life Avatars,1884777589,450,2000-12-01T00:00:00.000-0800,PUBLISH
Becoming Agile,1933988258,408,2009-05-01T00:00:00.000-0700,PUBLISH
ActiveMQ in Action,1933988940,408,2011-03-31T00:00:00.000-0700,PUBLISH
Implementing PeopleSoft Financials,138411808,220,1997-01-01T00:00:00.000-0800,PUBLISH
SQL Server DMVs in Action,1935182730,352,2011-05-09T00:00:00.000-0700,PUBLISH
Scala in Depth,1935182706,0,2012-05-14T00:00:00.000-0700,PUBLISH
JMX in Action,1930110561,424,2002-09-01T00:00:00.000-0700,PUBLISH
EJB Cookbook,1930110944,352,2003-05-01T00:00:00.000-0700,PUBLISH
"GWT in Action, Second Edition",1935182846,0,2013-01-21T00:00:00.000-0800,PUBLISH
"JUnit in Action, Second Edition",1935182021,504,2010-07-01T00:00:00.000-0700,PUBLISH
Bitter Java,193011043X,368,2002-03-01T00:00:00.000-0800,PUBLISH
Bitter EJB,1930110952,440,2003-05-01T00:00:00.000-0700,PUBLISH
Spring Batch in Action,1935182951,0,2011-10-01T00:00:00.000-0700,PUBLISH
JDK 1.4 Tutorial,1930110456,408,2002-03-01T00:00:00.000-0800,PUBLISH
iPhone and iPad in Action,1935182587,450,2010-08-01T00:00:00.000-0700,PUBLISH
SQL Server 2005 Reporting Services in Action,1932394761,600,2006-11-01T00:00:00.000-0800,PUBLISH
Ten Years of UserFriendly.Org,1935182129,1096,2008-12-01T00:00:00.000-0800,PUBLISH
Graphics Programming with Perl,1930110022,328,2002-05-01T00:00:00.000-0700,PUBLISH
RabbitMQ in Action,1935182978,0,2012-04-20T00:00:00.000-0700,PUBLISH
XDoclet in Action,1932394052,624,2003-11-01T00:00:00.000-0800,PUBLISH
Spring in Action,1932394354,472,2005-02-01T00:00:00.000-0800,PUBLISH
"Spring in Action, Second Edition",1933988134,768,2007-08-01T00:00:00.000-0700,PUBLISH
"Spring in Action, Third Edition",1935182358,424,2011-06-21T00:00:00.000-0700,PUBLISH
Spring in Practice,1935182056,600,2013-05-09T00:00:00.000-0700,PUBLISH
Java 2 Micro Edition,1930110332,504,2002-03-01T00:00:00.000-0800,PUBLISH
SharePoint 2010 Workflows in Action,1935182714,360,2011-02-07T00:00:00.000-0800,PUBLISH
SharePoint 2010 Web Parts in Action,1935182773,448,2011-04-24T00:00:00.000-0700,PUBLISH
C++ Concurrency in Action,1933988770,325,2012-02-24T00:00:00.000-0800,PUBLISH
Java Servlets by Example,188477766X,550,2002-12-01T00:00:00.000-0800,PUBLISH
XML Programming with VB and ASP,1884777872,320,1999-12-01T00:00:00.000-0800,PUBLISH
Oracle8i Database Administration,1884777783,543,1999-11-01T00:00:00.000-0800,PUBLISH
The Engaging Web,9.78194E+12,325,,MEAP
Enterprise OSGi In Action,1617290130,0,,PUBLISH
"Ext JS in Action, Second Edition",1617290327,0,2014-02-04T00:00:00.000-0800,PUBLISH
"Android in Action, Third Edition",1617290505,0,2011-11-15T00:00:00.000-0800,PUBLISH
Arduino in Action,1617290246,300,2013-05-30T00:00:00.000-0700,PUBLISH
Node.js in Action,1617290572,300,2013-10-15T00:00:00.000-0700,PUBLISH
Third-Party JavaScript ,1617290548,0,2013-03-11T00:00:00.000-0700,PUBLISH
Multimedia Computing,020152029X,0,1993-09-01T00:00:00.000-0700,PUBLISH
Web Development with JavaServer Pages,1884777996,0,2000-05-15T00:00:00.000-0700,PUBLISH
Up to Speed with Swing,1884777643,0,1998-05-01T00:00:00.000-0700,PUBLISH
Manager's Guide to Open Source,193239429X,0,2004-10-01T00:00:00.000-0700,PUBLISH
Programming Web Services with Java,1930110421,0,2002-10-01T00:00:00.000-0700,PUBLISH
TCP/IP Programming for OS/2,132612496,0,1996-04-23T00:00:00.000-0700,PUBLISH
"Implementing SAP R/3, Second Edition",013889213X,0,1997-09-01T00:00:00.000-0700,PUBLISH
Implementing SAP R/3,1884777228,0,1996-06-01T00:00:00.000-0700,PUBLISH
Using C-Kermit: Communication Software,1884777147,0,,PUBLISH
SCWCD Exam Study Kit,1930110596,0,2002-07-01T00:00:00.000-0700,PUBLISH
Unit Testing in C++,1617290386,0,,PUBLISH
Big Data,1617290343,0,,MEAP
CoffeeScript in Action,1617290629,0,2014-05-09T00:00:00.000-0700,PUBLISH
"SQL Server MVP Deep Dives, Volume 2",1617290475,750,2011-10-13T00:00:00.000-0700,PUBLISH
HTML5 in Action,1617290491,375,2014-02-10T00:00:00.000-0800,PUBLISH
"Java Persistence with Hibernate, Second Edition",1617290459,0,,MEAP
Hadoop in Practice,1617290238,0,2012-10-02T00:00:00.000-0700,PUBLISH
HBase in Action,1617290521,0,2012-11-02T00:00:00.000-0700,PUBLISH
Flex Mobile in Action,1617290610,0,2012-05-30T00:00:00.000-0700,PUBLISH
HTML5 for .NET Developers,1617290432,0,2012-11-30T00:00:00.000-0800,PUBLISH
50 Android Hacks,1617290564,0,2013-06-03T00:00:00.000-0700,PUBLISH
PowerShell in Depth,1617290556,0,2013-02-20T00:00:00.000-0800,PUBLISH
Augmented Reality Revealed,1617290165,0,,MEAP
Building Well-Structured JavaScript Applications,1617290599,0,,MEAP
Linked Data,1617290394,0,2013-12-31T00:00:00.000-0800,PUBLISH
"Mule in Action, Second Edition",1617290823,0,2014-02-20T00:00:00.000-0800,PUBLISH
Single Page Web Applications,1617290750,0,2013-09-19T00:00:00.000-0700,PUBLISH
"The Art of Unit Testing, Second Edition",1617290890,0,2013-11-25T00:00:00.000-0800,PUBLISH
Play for Java,1617290904,0,2014-03-14T00:00:00.000-0700,PUBLISH
Hello World! Second Edition,1617290920,0,2013-12-12T00:00:00.000-0800,PUBLISH
Dart in Action,1617290866,0,2012-12-31T00:00:00.000-0800,PUBLISH
Redis in Action,1617290858,0,2013-06-18T00:00:00.000-0700,PUBLISH
Using the TI-83 Plus/TI-84 Plus,161729084X,0,2013-08-19T00:00:00.000-0700,PUBLISH
Neo4j in Action,1617290769,0,,MEAP
Programming the TI-83 Plus/TI-84 Plus,1617290777,0,2012-09-14T00:00:00.000-0700,PUBLISH
Functional Programming in Scala,1617290653,0,,MEAP
Play for Scala,1617290793,0,2013-10-03T00:00:00.000-0700,PUBLISH
Node.js in Practice,1617290939,0,,MEAP
SonarQube in Action,1617290955,0,2013-10-30T00:00:00.000-0700,PUBLISH
Windows Store App Development: C# and XAML,1617290947,0,2013-06-03T00:00:00.000-0700,PUBLISH
Learn Windows IIS in a Month of Lunches,1617290971,0,2013-12-31T00:00:00.000-0800,PUBLISH
Mondrian in Action,161729098X,0,,PUBLISH
RabbitMQ in Depth,1617291005,0,,MEAP
Akka in Action,1617291013,0,,MEAP
Extending jQuery,161729103X,0,2013-08-12T00:00:00.000-0700,PUBLISH
OCA Java SE 7 Programmer I Certification Guide,1617291048,0,2013-04-02T00:00:00.000-0700,PUBLISH
Kanban in Action,1617291056,0,2014-03-04T00:00:00.000-0800,PUBLISH
Solr in Action,1617291021,0,2014-03-25T00:00:00.000-0700,PUBLISH
Making Sense of NoSQL,1617291072,0,2013-09-03T00:00:00.000-0700,PUBLISH
Jaguar Development with PowerBuilder 7,1884777864,0,1999-08-09T00:00:00.000-0700,PUBLISH
"Grails in Action, Second Edition",1617290963,0,,MEAP
Rails 4 in Action,1617291099,0,,MEAP
